source_pdf,summary_md,pdf_pages,extracted_chars,summary_chars,methods,complete
01_AB_MIL_Attention-based Deep Multiple Instance Learning.pdf,01_AB_MIL_Attention-based Deep Multiple Instance Learning.md,16,57909,13023,1,True
02_MIXUP_MIL_mixup_ Beyond Empirical Risk Minimization.pdf,02_MIXUP_MIL_mixup_ Beyond Empirical Risk Minimization.md,13,43875,7869,1,True
04_TRANS_MIL_Transformer based Correlated Multiple Instance Learning for WSI Classification.pdf,04_TRANS_MIL_Transformer based Correlated Multiple Instance Learning for WSI Classification.md,15,43476,16254,1,True
05_DS_MIL_Dual-stream MIL Network for WSI Classification with SSL Contrastive Learning.pdf,05_DS_MIL_Dual-stream MIL Network for WSI Classification with SSL Contrastive Learning.md,11,54212,15981,3,True
06_CLAM_MIL_Data Efficient and Weakly Supervised Computational Pathology on WSI.pdf,06_CLAM_MIL_Data Efficient and Weakly Supervised Computational Pathology on WSI.md,35,87324,15398,2,True
07_PGCN_MIL_Context-Aware Survival Prediction using Patch-based Graph Convolutional Networks.pdf,07_PGCN_MIL_Context-Aware Survival Prediction using Patch-based Graph Convolutional Networks.md,13,32829,16985,1,True
08_REMIX_MIL_A General and Efficient Framework for MIL based WSI Classification.pdf,08_REMIX_MIL_A General and Efficient Framework for MIL based WSI Classification.md,40,55788,8940,1,True
09_S4_MIL_Efficiently Modeling Long Sequences with Structured State Spaces.pdf,09_S4_MIL_Efficiently Modeling Long Sequences with Structured State Spaces.md,11,29495,10280,1,True
10_DG_MIL_Distribution Guided Multiple Instance Learning for Whole Slide Image Classification.pdf,10_DG_MIL_Distribution Guided Multiple Instance Learning for Whole Slide Image Classification.md,11,31218,15437,1,True
11_DTFD_MIL_Double-Tier Feature Distillation MIL for Histopathology WSI Classification.pdf,11_DTFD_MIL_Double-Tier Feature Distillation MIL for Histopathology WSI Classification.md,11,46930,9770,1,True
12_ADD_MIL_Additive MIL_ Intrinsically Interpretable MIL for Pathology.pdf,12_ADD_MIL_Additive MIL_ Intrinsically Interpretable MIL for Pathology.md,19,54130,10625,1,True
14_IIB_MIL_Integrated instance-level and bag-level MIL with label disambiguation.pdf,14_IIB_MIL_Integrated instance-level and bag-level MIL with label disambiguation.md,1,675,13466,2,True
15_IB_MIL_Interventional Bag Multi-Instance Learning On Whole-Slide Pathological Images.pdf,15_IB_MIL_Interventional Bag Multi-Instance Learning On Whole-Slide Pathological Images.md,10,47848,11137,1,True
16_RANKMIX_MIL_Data Augmentation for Classifying WSIs with Diverse Sizes.pdf,16_RANKMIX_MIL_Data Augmentation for Classifying WSIs with Diverse Sizes.md,10,44486,9936,1,True
17_MHIM_MIL_MIL Framework with Masked Hard Instance Mining for WSI Classification.pdf,17_MHIM_MIL_MIL Framework with Masked Hard Instance Mining for WSI Classification.md,17,65991,15301,1,True
18_WIKG_MIL_Dynamic Graph Representation with Knowledge-aware Attention for WSI Analysis.pdf,18_WIKG_MIL_Dynamic Graph Representation with Knowledge-aware Attention for WSI Analysis.md,10,45995,14087,1,True
19_AMD_MIL_Agent Aggregator with Mask Denoise Mechanism for Histopathology WSI Analysis.pdf,19_AMD_MIL_Agent Aggregator with Mask Denoise Mechanism for Histopathology WSI Analysis.md,9,47807,15849,1,True
21_PSEBMIX_MIL_Pseudo-Bag Mixup Augmentation for MIL Based Whole Slide Image Classification.pdf,21_PSEBMIX_MIL_Pseudo-Bag Mixup Augmentation for MIL Based Whole Slide Image Classification.md,12,70567,15205,2,True
22_LONG_MIL_Scaling Long Contextual MIL for Histopathology WSI Analysis.pdf,22_LONG_MIL_Scaling Long Contextual MIL for Histopathology WSI Analysis.md,12,60798,12991,1,True
23_DGR_MIL_Exploring Diverse Global Representation in MIL for WSI Classification.pdf,23_DGR_MIL_Exploring Diverse Global Representation in MIL for WSI Classification.md,25,67085,14272,1,True
24_CDP_MIL_cDP-MIL_ Robust Multiple Instance Learning via Cascaded Dirichlet Process.pdf,24_CDP_MIL_cDP-MIL_ Robust Multiple Instance Learning via Cascaded Dirichlet Process.md,18,48050,12931,1,True
25_CA_MIL_Context-Aware Multiple Instance Learning for WSI Classification.pdf,25_CA_MIL_Context-Aware Multiple Instance Learning for WSI Classification.md,16,56430,13700,1,True
26_AC_MIL_Attention-Challenging Multiple Instance Learning for WSI Classification.pdf,26_AC_MIL_Attention-Challenging Multiple Instance Learning for WSI Classification.md,27,69256,15000,2,True
27_MAMBA_MIL_Enhancing Long Sequence Modeling with Sequence Reordering in CPath.pdf,27_MAMBA_MIL_Enhancing Long Sequence Modeling with Sequence Reordering in CPath.md,11,29495,11653,1,True
28_RET_MIL_Retentive Multiple Instance Learning for Histopathological WSI Classification.pdf,28_RET_MIL_Retentive Multiple Instance Learning for Histopathological WSI Classification.md,10,23054,14586,1,True
29_SC_MIL_Sparse Context-aware MIL for Predicting Cancer Survival Probability Distribution in WSI.pdf,29_SC_MIL_Sparse Context-aware MIL for Predicting Cancer Survival Probability Distribution in WSI.md,10,27843,11771,1,True
30_NCIE_MIL_Rethinking Decoupled MIL Framework for Histopathological Slide Classification.pdf,30_NCIE_MIL_Rethinking Decoupled MIL Framework for Histopathological Slide Classification.md,13,34921,16666,2,True
